I Love Lisa,74,4,https://www.imdb.com/title/tt0773648/ratings?ref_=tt_ov_rt,545,460,641,253,84,37,20,8,2,44,2094
Duffless,75,4,https://www.imdb.com/title/tt0763029/ratings?ref_=tt_ov_rt,511,434,598,251,81,36,15,8,4,45,1983
Last Exit to Springfield,76,4,https://www.imdb.com/title/tt0701151/ratings?ref_=tt_ov_rt,1497,706,385,180,61,29,12,12,6,65,2953
So It's Come to This: A Simpsons Clip Show,77,4,https://www.imdb.com/title/tt0773651/ratings?ref_=tt_ov_rt,236,160,367,490,277,129,43,36,12,60,1810
The Front,78,4,https://www.imdb.com/title/tt0701237/ratings?ref_=tt_ov_rt,366,325,623,316,107,25,19,5,4,36,1826
Whacking Day,79,4,https://www.imdb.com/title/tt0701292/ratings?ref_=tt_ov_rt,422,391,615,346,115,48,8,7,4,45,2001
Marge in Chains,80,4,https://www.imdb.com/title/tt0701171/ratings?ref_=tt_ov_rt,265,208,596,436,146,57,31,4,4,30,1777
Krusty Gets Kancelled,81,4,https://www.imdb.com/title/tt0701148/ratings?ref_=tt_ov_rt,481,389,605,315,100,41,22,17,4,38,2012
Homer's Barbershop Quartet,82,5,https://www.imdb.com/title/tt0701121/ratings?ref_=tt_ov_rt,740,567,547,260,112,45,21,9,5,54,2360
Cape Feare,83,5,https://www.imdb.com/title/tt0701080/ratings?ref_=tt_ov_rt,1839,731,409,186,78,34,17,6,4,80,3384
Homer Goes to College,84,5,https://www.imdb.com/title/tt0773645/ratings?ref_=tt_ov_rt,781,603,514,258,85,39,24,9,5,54,2372
Rosebud,85,5,https://www.imdb.com/title/tt0701202/ratings?ref_=tt_ov_rt,864,746,462,180,62,27,13,6,4,34,2398
Treehouse of Horror IV,86,5,https://www.imdb.com/title/tt0701279/ratings?ref_=tt_ov_rt,856,647,462,215,67,49,12,5,9,63,2385
Marge on the Lam,87,5,https://www.imdb.com/title/tt0701172/ratings?ref_=tt_ov_rt,321,376,663,319,98,44,20,7,5,30,1883
Bart's Inner Child,88,5,https://www.imdb.com/title/tt0701066/ratings?ref_=tt_ov_rt,256,195,567,472,153,52,28,10,3,35,1771
Boy-Scoutz 'n the Hood,89,5,https://www.imdb.com/title/tt0701072/ratings?ref_=tt_ov_rt,667,606,498,202,83,27,11,3,1,28,2126
The Last Temptation of Homer,90,5,https://www.imdb.com/title/tt0701246/ratings?ref_=tt_ov_rt,586,528,572,241,86,37,13,6,4,48,2121
"$pringfield (Or, How I Learned to Stop Worrying and Love Legalized Gambling)",91,5,https://www.imdb.com/title/tt0701040/ratings?ref_=tt_ov_rt,658,586,458,223,81,29,6,10,9,57,2117
Homer the Vigilante,92,5,https://www.imdb.com/title/tt0701117/ratings?ref_=tt_ov_rt,446,423,598,283,92,32,18,3,5,49,1949
Bart Gets Famous,93,5,https://www.imdb.com/title/tt0701055/ratings?ref_=tt_ov_rt,362,345,661,308,83,36,16,4,7,32,1854
Homer and Apu,94,5,https://www.imdb.com/title/tt0701112/ratings?ref_=tt_ov_rt,433,403,629,259,87,37,16,3,3,46,1916
Lisa vs. Malibu Stacy,95,5,https://www.imdb.com/title/tt0701159/ratings?ref_=tt_ov_rt,417,352,611,339,92,46,15,3,3,31,1909
Deep Space Homer,96,5,https://www.imdb.com/title/tt0701087/ratings?ref_=tt_ov_rt,986,642,438,190,76,21,13,5,6,69,2446
Homer Loves Flanders,97,5,https://www.imdb.com/title/tt0773646/ratings?ref_=tt_ov_rt,510,554,544,209,58,25,10,4,1,41,1956
Bart Gets an Elephant,98,5,https://www.imdb.com/title/tt0777148/ratings?ref_=tt_ov_rt,326,270,579,414,131,49,31,12,8,34,1854
Burns' Heir,99,5,https://www.imdb.com/title/tt0777149/ratings?ref_=tt_ov_rt,458,428,582,230,70,35,11,4,2,32,1852
Sweet Seymour Skinner's Baadasssss Song,100,5,https://www.imdb.com/title/tt0777150/ratings?ref_=tt_ov_rt,523,398,606,226,67,33,10,2,0,31,1896
The Boy Who Knew Too Much,101,5,https://www.imdb.com/title/tt0778453/ratings?ref_=tt_ov_rt,423,409,538,252,74,37,15,10,2,50,1810
Lady Bouvier's Lover,102,5,https://www.imdb.com/title/tt0763033/ratings?ref_=tt_ov_rt,229,205,463,454,172,54,31,13,3,32,1656
Secrets of a Successful Marriage,103,5,https://www.imdb.com/title/tt0778452/ratings?ref_=tt_ov_rt,355,291,559,309,100,42,21,7,7,41,1732
Bart of Darkness,104,6,https://www.imdb.com/title/tt0763026/ratings?ref_=tt_ov_rt,705,604,526,225,62,19,11,9,3,53,2217
Lisa's Rival,105,6,https://www.imdb.com/title/tt0701162/ratings?ref_=tt_ov_rt,386,340,677,318,98,40,19,6,2,35,1921
Another Simpsons Clip Show,106,6,https://www.imdb.com/title/tt0701053/ratings?ref_=tt_ov_rt,196,53,127,327,437,259,123,61,57,96,1736
Itchy & Scratchy Land,107,6,https://www.imdb.com/title/tt0778449/ratings?ref_=tt_ov_rt,664,542,495,226,74,38,18,7,9,47,2120
Sideshow Bob Roberts,108,6,https://www.imdb.com/title/tt0701207/ratings?ref_=tt_ov_rt,458,393,536,271,92,33,18,8,3,51,1863
Treehouse of Horror V,109,6,https://www.imdb.com/title/tt0701281/ratings?ref_=tt_ov_rt,1521,643,401,157,53,39,10,4,5,71,2904
Bart's Girlfriend,110,6,https://www.imdb.com/title/tt0701065/ratings?ref_=tt_ov_rt,356,368,613,321,110,48,14,10,8,37,1885
Lisa on Ice,111,6,https://www.imdb.com/title/tt0778450/ratings?ref_=tt_ov_rt,610,526,523,207,64,38,15,9,4,50,2046
Homer Badman,112,6,https://www.imdb.com/title/tt0701109/ratings?ref_=tt_ov_rt,1159,725,426,182,55,35,11,7,2,50,2652
Grampa vs. Sexual Inadequacy,113,6,https://www.imdb.com/title/tt0778448/ratings?ref_=tt_ov_rt,331,301,597,337,88,36,16,8,6,30,1750
Fear of Flying,114,6,https://www.imdb.com/title/tt0701097/ratings?ref_=tt_ov_rt,311,226,566,410,151,51,21,16,10,30,1792
Homer the Great,115,6,https://www.imdb.com/title/tt0701115/ratings?ref_=tt_ov_rt,1117,623,392,145,51,25,15,7,3,64,2442
And Maggie Makes Three,116,6,https://www.imdb.com/title/tt0757016/ratings?ref_=tt_ov_rt,876,527,449,193,61,33,12,11,6,45,2213
Bart's Comet,117,6,https://www.imdb.com/title/tt0778447/ratings?ref_=tt_ov_rt,616,553,480,205,48,19,13,6,1,53,1994
